variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Israel,2010,0.826376092268849,0.2355784722969248,0.4173011042803316,0.44275102597143107,0.6282343973647168,0.26533227079035987
imbgeco,Israel,2012,0.827094360627571,0.20913349123425712,0.43767381063557925,0.44826815279646137,0.5992299302062774,0.25512133234663575
imbgeco,Israel,2014,0.7959825098517909,0.10809216901034553,0.3804715425346868,0.4254617480350172,0.6465473751923156,0.27009911178257007
imbgeco,Israel,2016,0.810781911819171,0.1137044551007202,0.4169654131203892,0.44259229760808555,0.6094519422097883,0.4213966977032483
imbgeco,Israel,2018,NA,NA,NA,NA,NA,NA
imbgeco,Israel,2020,0.7543131461944408,0.07987198911025306,0.4073282440102702,0.4301798324616295,0.6599258366797354,0.30769017871164783
imbgeco,Israel,2022,NA,NA,NA,NA,NA,NA
imbgeco,Italy,2002,0.6893620144419668,0.05385342115936745,0.3232611469053711,0.4106487938425285,0.7034248126840159,0.1782124435419491
imbgeco,Italy,2008,NA,NA,NA,NA,NA,NA
imbgeco,Italy,2010,NA,NA,NA,NA,NA,NA
imbgeco,Italy,2012,0.7977994526039215,0.0066381264943343515,0.4482013377632007,0.44129181779225174,0.640099480229138,0.24845463259848613
imbgeco,Italy,2014,NA,NA,NA,NA,NA,NA
imbgeco,Italy,2016,0.8328109513368327,0.1840691549867131,0.45566576530351943,0.4206471305979593,0.6356944329544985,0.1937855079854407
imbgeco,Italy,2018,0.8188801496987791,0.08346977375885008,0.43214966260873366,0.4188790695792182,0.679195323563486,0.2667050919618782
imbgeco,Italy,2020,0.7886604983742608,0.001254843754167645,0.3740536219184276,0.4100297577406389,0.7014766841897082,0.2542807776922692
imbgeco,Italy,2022,0.799447138185828,0.003997640023331961,0.3781800102668614,0.39803470047244144,0.7379409025765022,0.16250033407764763
imbgeco,Luxembourg,2002,0.8009467530567627,0.5377105380849908,0.31804560074650295,0.47442098054567927,0.7000625040409187,0.12164616336627482
imbgeco,Luxembourg,2008,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2010,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2012,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2014,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2016,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2018,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2020,NA,NA,NA,NA,NA,NA
imbgeco,Luxembourg,2022,NA,NA,NA,NA,NA,NA
imbgeco,Netherlands,2002,0.6832298956309157,0.06915856133231878,0.2938688006825138,0.37234847184596376,0.7250825450441534,0.07145582717037609
imbgeco,Netherlands,2008,0.7419152348773552,0.03177915610039435,0.2792928971736913,0.3724251955143165,0.7290712856193546,0.11609490218388059
imbgeco,Netherlands,2010,0.7601264112324059,0.007166441290221393,0.2913382671408842,0.3754195292247319,0.7482655317174347,0.11054608509307567
